Test	N	M	A	B	Lb	Ub	Seed		generator
03.in	30	40	27	17	100	150	6234623		1
04.in	45	45	19	24	1	200	523452		1
05.in	50	50	30	23	1	200	7462832		1
06.in	50	50	25	23	1	200	237652		1
07.in	700	800	362	421	1	50	435623		1
08.in	900	800	423	456	1	50	124312		1
09.in	1000	999	412	733	1	50	129837		1
10.in	1000	1000	342	544	1	50	2342523		1
11.in	390	400	210	187	1	1000	45893254	2
12.in	400	400	200	200	1	1000	42342234	2
13.in	400	400	211	213	1	1000	89898989	2
14.in	400	398	221	199	1	1000	73809876	2
15.in	1000	1000	543	709	1	1000	52345323	2
16.in	1000	1000	534	456	1	1000	24215436	2
17.in	1000	1000	532	432	1	1000	12311231	2
18.in	1000	1000	453	232	1	1000	53482456	2
19.in	1000	1000	242	780	1	1000	42345667	2
20.in	1000	1000	245	783	1	1000	24236653	2
21.in	1000	1000	432	545	1	1000	24178954	2
22.in	1000	1000	554	445	1	1000	94342523	2
