01.in	0	4199040
02.in	200000	9283943
03.in	200000	91894324
04.in	200000	9374262
05.in	200000	298312435
06.in	200000	87582352
07.in	200000	38478235
08.in	200000	7635345
09.in	5000	2345225
10.in	5000	83275543
11.in	5000	87385243
12.in	200000	23534634
13.in	200000	234235236
14.in	200000	7674546
15.in	199799	4563456
16.in	200000	93825523
17.in	200000	8723842
18.in	200000	4235236
19.in	200000	8743583
20.in	200000	9238434
21.in	200000	47365734
13.in	200000	2352354
13.in	200000	328745235
13.in	199970	2342342
