01.in Sample
02.in	1	300000	200	293845	2
03.in	1	300000	200	984534	3
04.in	1	150	200	235235	4
05.in	1	300	200	245235	5
06.in	1	300000	200	8523532	2
07.in	547	547	200	423523	2
08.in	300	1000	200	239583	2
09.in	1000	300	200	954853	3
10.in	547	547	200	8237523	1
11.in	10	10	200	239852	4
12.in	15	15	200	9238523	5
13.in	1	300000	300000	239454	2
14.in	1	300000	300000	985137	3
15.in	1	300000	300000	383474	4
16.in	1	300000	300000	234583	5
16.in	1	300000	300000	723619	5
17.in	1	300000	300000	8712353	3
18.in	547	547	300000	543536	1
19.in	300	1000	300000	238425	2
20.in	3000	100	300000	293842	4
21.in	500	500	300000	235643	4
22.in	300000	1	300000	234235	3
23.in	547	547	300000	923854	5
24.in	300	1000	300000	98553	5
25.in	547	547	300000	8732453	5
